ID,Date,Basin,Region,Pollutant,Concentration,MPC,water_body,water_body_type,station,source_bulletin
95,2024-10-31,Ertis,VKO,Nitrates,4.249536,45.0,Алакөл көлі,lake,,Ertis_2024-10.pdf
96,2024-10-31,Ertis,VKO,Oil Products,0.03,0.05,Алакөл көлі,lake,,Ertis_2024-10.pdf
97,2024-10-31,Ertis,VKO,Sulfates,358.7,500.0,Еміл өз.,river,,Ertis_2024-10.pdf
98,2024-10-31,Ertis,VKO,Sulfates,2156.0,500.0,Алакөл көлі,lake,,Ertis_2024-10.pdf
99,2024-06-30,Nura-Sarysu,Karaganda,Copper,0.0011,0.001,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-06.pdf
100,2024-06-30,Nura-Sarysu,Karaganda,Copper,0.0014,0.001,Есей көлі,lake,,Nura-Sarysu_2024-06.pdf
101,2024-06-30,Nura-Sarysu,Karaganda,Copper,0.0015,0.001,Шолақ көлі,lake,,Nura-Sarysu_2024-06.pdf
102,2024-06-30,Nura-Sarysu,Karaganda,Copper,0.0017,0.001,Балкаш көлі,lake,,Nura-Sarysu_2024-06.pdf
103,2024-06-30,Nura-Sarysu,Karaganda,Copper,0.002,0.001,Қоқай көлі,lake,,Nura-Sarysu_2024-06.pdf
104,2024-06-30,Nura-Sarysu,Karaganda,Oil Products,0.014,0.05,Балкаш көлі,lake,,Nura-Sarysu_2024-06.pdf
105,2024-06-30,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Қоқай көлі,lake,,Nura-Sarysu_2024-06.pdf
106,2024-06-30,Nura-Sarysu,Karaganda,Phenols,0.001,0.001,Теңіз көлі,lake,,Nura-Sarysu_2024-06.pdf
107,2024-06-30,Nura-Sarysu,Karaganda,Sulfates,118.0,500.0,Шолақ көлі,lake,,Nura-Sarysu_2024-06.pdf
108,2024-06-30,Nura-Sarysu,Karaganda,Sulfates,237.0,500.0,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-06.pdf
109,2024-06-30,Nura-Sarysu,Karaganda,Sulfates,247.0,500.0,Қоқай көлі,lake,,Nura-Sarysu_2024-06.pdf
110,2024-06-30,Nura-Sarysu,Karaganda,Sulfates,406.0,500.0,Есей көлі,lake,,Nura-Sarysu_2024-06.pdf
111,2024-06-30,Nura-Sarysu,Karaganda,Sulfates,897.0,500.0,Балкаш көлі,lake,,Nura-Sarysu_2024-06.pdf
112,2024-06-30,Nura-Sarysu,Karaganda,Sulfates,2282.0,500.0,Теңіз көлі,lake,,Nura-Sarysu_2024-06.pdf
113,2024-06-30,Nura-Sarysu,Karaganda,Zinc,0.0071,0.01,Шолақ көлі,lake,,Nura-Sarysu_2024-06.pdf
114,2024-06-30,Nura-Sarysu,Karaganda,Zinc,0.0095,0.01,Сұлтанкелді көлі,lake,,Nura-Sarysu_2024-06.pdf
115,2024-06-30,Nura-Sarysu,Karaganda,Zinc,0.0107,0.01,Теңіз көлі,lake,,Nura-Sarysu_2024-06.pdf
116,2024-06-30,Nura-Sarysu,Karaganda,Zinc,0.011,0.01,Балкаш көлі,lake,,Nura-Sarysu_2024-06.pdf
117,2024-06-30,Nura-Sarysu,Karaganda,Zinc,0.0114,0.01,Есей көлі,lake,,Nura-Sarysu_2024-06.pdf
